Column Header,Bug ID / Report Number,Summary / Abstract,Tester Name,Date Reported,Product / Module,Version / Build Number,Environment,Severity Level,Priority,Steps to Reproduce,Expected Result,Actual Result,Reproducibility / Frequency,Attachments / Evidence,Status,Assigned To / Owner,Date Fixed / Resolved,Bug Cost,Notes / Comments
,BUG-010,Invalid president name causes program to get stuck,Team 2 - Black Box,11/18/2025,Wacky Widget / Initialization,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,1. Start program. 2. Enter invalid name (empty). 3. Enter invalid name again. 4. Program doesn't properly reprompt,System should keep prompting for valid president name,Program may hang or not properly handle sequential invalid inputs,Always,Test BBT003C,Open,TBD,,Related to BUG-009,Input validation loop issue
,BUG-011,Subordinates lost after multiple cascading fires,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. HIRE President1 VP1. 2. HIRE VP1 S1. 3. HIRE VP1 S2. 4. HIRE S1 W1. 5. HIRE S2 W2. 6. FIRE President1 VP1. 7. DISPLAY,Workers W1 and W2 should be visible under vacancy hierarchy,Workers completely disappear from display,Always,Test BBT091,Open,TBD,,Critical - Same root cause as BUG-001,Multiple levels deep make issue more severe
,BUG-012,Layoff of employee with subordinates causes subordinates to be lost,Team 2 - Black Box,11/18/2025,Wacky Widget / Layoff Operation,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. HIRE President1 VP1. 2. HIRE President1 VP2. 3. HIRE VP1 S1. 4. HIRE S1 W1. 5. HIRE S1 W2. 6. LAYOFF President1 VP1. 7. DISPLAY,"Supervisor S1 and Workers W1, W2 should remain visible","After layoff, subordinate structure (S1, W1, W2) disappears",Always,Test BBT099,Open,TBD,,Critical - Layoff doesn't preserve subordinates like Fire does,layoff_employee() needs to handle subordinates
,BUG-013,Display stops at first vacancy instead of showing deeper levels,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,"1. Create full hierarchy with VP, S1, S2, W1, W2. 2. FIRE President1 VP1. 3. DISPLAY","Should show VACANCY: Vice President with S1, S2, W1, W2 beneath",Display shows vacancy but not the subordinate supervisors and workers,Always,Test BBT116,Open,TBD,,Critical - Makes entire subordinate structure invisible,_display_loop() doesn't recurse into Vacancy objects
,BUG-014,Extremely deep hierarchy with vacancy not displayed properly,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,1. HIRE President1 VP1. 2. HIRE VP1 S1. 3. HIRE S1 W1. 4. QUIT VP1. 5. DISPLAY,"Should show: VACANCY: Vice President, then Supervisor: S1, then Worker: W1","Subordinates below vacancy don't display (S1, W1 missing)",Always,Test BBT119,Open,TBD,,Related to BUG-001 and BUG-013,Multiple vacancy levels compound the issue
,BUG-015,Multiple vacancies at same level don't all display,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,"1. HIRE VP1 with S1, S2, S3. 2. FIRE VP1 S1. 3. FIRE VP1 S2. 4. DISPLAY",Should show 2 VACANCY: Supervisor entries,May only show one vacancy or handle multiple vacancies incorrectly,Always,Test BBT132,Open,TBD,,Display logic doesn't handle multiple vacancies at same level,
,BUG-016,All employees at one level removed - vacancies not properly displayed,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,1. HIRE President1 VP1. 2. HIRE President1 VP2. 3. FIRE President1 VP1. 4. FIRE President1 VP2. 5. DISPLAY,Should show vacancies for both removed VPs,Vacancy display may be incomplete or missing,Always,Test BBT120,Open,TBD,,Edge case for vacancy handling,
,BUG-017,Names with only spaces accepted as valid,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,"1. Enter ""   "" (3 spaces) as president name",System should reject names containing only whitespace,Program may accept whitespace-only names,Always,Test BBT081,Open,TBD,,Input sanitization issue,_valid_name() should strip and check for empty
,BUG-018,Names with newline characters not properly rejected,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,1. HIRE President1 Name\nLine,System should reject names with newline characters,May accept or improperly handle newline in names,Always,Test BBT083,Open,TBD,,Input validation should check for control characters,
,BUG-019,Names with underscores accepted,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,1. HIRE President1 User_Name,System should reject special characters including underscore,Accepts underscore in names,Always,Test BBT085,Open,TBD,,Depends on naming requirements - may be design decision,
,BUG-020,Names with hyphens/dashes accepted,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,3 - Minor,3 - Low,1. HIRE President1 Mary-Jane,System should reject special characters including hyphen,Accepts hyphen in names,Always,Test BBT086,Open,TBD,,May be acceptable for compound names - verify requirements,
,BUG-021,Layoff employee under vacancy causes issues,Team 2 - Black Box,11/18/2025,Wacky Widget / Layoff Operation,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,1. Create hierarchy. 2. FIRE VP1 S1 creating vacancy. 3. LAYOFF VP1 W1 (worker under vacancy). 4. Observe behavior,Worker should be laid off normally or moved to opening,Layoff operation on employee under vacancy may fail or behave unexpectedly,Always,Test BBT130,Open,TBD,,Operations on employees under vacancies not well-defined,
,BUG-022,SQL injection attempt in name not validated,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. HIRE President1 Robert';DROP TABLE users;--,System should reject malicious input with SQL syntax,May accept SQL injection attempts in name field,Always,Test BBT133,Open,TBD,,Critical security issue - even if not using SQL database,"Input validation must sanitize all special characters, quotes, semicolons"
,BUG-023,Names with escape sequences not properly validated,Team 2 - Black Box,11/18/2025,Wacky Widget / Name Validation,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,1. HIRE President1 Name\\nWithEscape,System should reject or sanitize escape sequences,May accept backslash escape sequences,Always,Test BBT134,Open,TBD,,Security and data integrity concern,
,BUG-024,Hire after quit doesn't preserve subordinate structure,Team 2 - Black Box,11/18/2025,Wacky Widget / Hire Operation,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,1. HIRE President1 VP1. 2. HIRE VP1 S1. 3. HIRE S1 W1. 4. QUIT VP1. 5. HIRE President1 VP2. 6. DISPLAY,New VP2 should inherit the vacancy with S1 and W1 beneath,New hire may not properly connect to existing subordinate structure,Always,Test BBT147,Open,TBD,,Hiring into vacancy should preserve reports,
,BUG-025,Maximum nesting with full organization causes display issues,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,2 - Major,2 - Medium,"1. Create full org: President with 2 VPs, each VP with 3 Supervisors, fill workers. 2. QUIT VP1. 3. DISPLAY","Should show VACANCY with all subordinates (S1, S2, S3) and their workers",Subordinates under quit VP disappear from display,Always,Test BBT150,Open,TBD,,Complex scenario combining multiple issues,Related to BUG-001 - display with vacancies
,BUG-026,Nested vacancy display completely broken,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. HIRE President1 VP1. 2. HIRE VP1 S1. 3. HIRE S1 W1. 4. FIRE President1 VP1. 5. FIRE President1 S1. 6. DISPLAY,"Should show: VACANCY: Vice President, VACANCY: Supervisor, Worker: W1","Only shows VP vacancy, nested supervisor vacancy and worker don't appear",Always,Test BBT080,Open,TBD,,Critical - Nested vacancies completely break display,_display_loop() issue with Vacancy recursion
,BUG-027,Layoff VP with subordinates causes data loss in display,Team 2 - Black Box,11/18/2025,Wacky Widget / Layoff Operation,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. HIRE President1 VP1. 2. HIRE President1 VP2. 3. HIRE VP1 Super1. 4. HIRE Super1 W1. 5. LAYOFF President1 VP1. 6. DISPLAY,Super1 and W1 should remain visible even after VP1 laid off,"Subordinates disappear from display (Super1, W1 missing)",Always,Test BBT057,Open,TBD,,Critical - Same display issue as Fire and Quit,
,BUG-028,Deep hierarchy not visible after mid-level removal,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,"1. Create: President->VP1->S1,S2->W1,W2,W3. 2. FIRE President1 VP1. 3. DISPLAY","All 6 items should be visible: VACANCY, S1, S2, W1, W2, W3",Only shows President and VACANCY; all 6 subordinates disappear,Always,Test BBT058,Open,TBD,,Critical - Complete loss of visibility for entire subtree,
,BUG-029,Supervisor fired - workers remain but not visible,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,"1. HIRE VP1 Super1. 2. HIRE Super1 W1, W2, W3. 3. FIRE VP1 Super1. 4. DISPLAY","Should show: VACANCY: Supervisor with W1, W2, W3 beneath",Vacancy shows but W1,Always,Test BBTO55,Open,TBD,,Critical - Workers exist in system but invisible in display,
,BUG-030,VP quits - subordinates should remain visible but don't,Team 2 - Black Box,11/18/2025,Wacky Widget / Display Module,v1.0,Windows PowerShell / Python 3.x,1 - Critical,1 - High,1. HIRE President1 VP1. 2. HIRE VP1 Super1. 3. HIRE Super1 Worker1. 4. QUIT VP1. 5. DISPLAY,"Should show: VACANCY: Vice President, Supervisor: Super1, Worker: Worker1","Vacancy shows, but Super1 and Worker1 are missing from display",Always,Test BBT054,Open,TBD,,Critical - Identical to BUG-001 but triggered by QUIT instead of FIRE,Same root cause in _display_loop()
